Start Date,End Date,Campaign Name,Reach,Frequency,Impressions,Clicks,Unique Clicks,Click-Through Rate (CTR),Unique Click-Through Rate (uCTR),Amount Spent (USD),"Cost Per 1,000 Impressions (CPM) (USD)","Cost Per 1,000 People Reached (USD)",Cost Per Click (CPC) (USD),Actions,People Taking Action,Page Likes
9/28/2014,10/3/2014,BNOTIONS - NYT - REGI FB ACQ LAL - IPAD - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - BROAD - IPHONE - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - US FORMER SUBSCRIBERS LAL - IPHONE - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - IPAD - SUBSCRIBED USERS LAL 5% - GLP,6608,1.041616223,6883,65,62,0.9443556589,0.9382566586,167.77,24.37454598,25.38892252,2.581076923,7,7,0
9/28/2014,10/3/2014,BNOTIONS - NYT - ANDROID PHONE - US FORMER SUBSCRIBERS 10% - GLP,3267,1.022038567,3339,37,37,1.108116202,1.132537496,63.38,18.98173106,19.40006122,1.712972973,1,1,0
9/28/2014,10/3/2014,BNOTIONS - NYT - BROAD - IPAD - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - CUSTOM AUDIENCES - IPHONE - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - CONNECTED TO PAGE - IPAD - GLP,4094,1.012212995,4144,24,23,0.5791505792,0.5617977528,66.77,16.11245174,16.30923302,2.782083333,5,5,0
9/28/2014,10/3/2014,BNOTIONS - NYT - CONNECTED TO PAGE - IPHONE - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - LAL FB REGGIES - IPHONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - CUSTOM AUDIENCES - IPAD - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - US FORMER SUBSCRIBERS LAL - IPHONE - 02 - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - IPHONE - CONNECTED TO PAGE - 01 - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - IPHONE - BROAD TARGETING 45+ - 01 - GLP,97163,1.252575569,121704,730,657,0.5998159469,0.6761833208,1603.18,13.17277986,16.49990223,2.196136986,144,144,6
9/28/2014,10/3/2014,BNOTIONS - NYT - CUSTOM AUDIENCES - IPAD - F 45-65 - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - CONNECTED TO PAGE - ANDROID - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - US FORMER SUBSCRIBERS LAL - ANDROID - GLP,198873,1.372076652,272869,1399,1275,0.5127002334,0.6411126699,2935.46,10.75776288,14.76047528,2.098255897,351,350,9
9/28/2014,10/3/2014,BNOTIONS - NYT - US FORMER SUBSCRIBERS LAL - IPAD - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2014,10/3/2014,BNOTIONS - NYT - CUSTOM AUDIENCE - ANDROID - GLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
